frequency_hz,mean_psd_V2_per_Hz,mean_psd_uV2_per_Hz
12.0,9.824343567037096e-13,0.9824343567037096
12.25,8.363758025373338e-13,0.8363758025373338
12.5,8.591054731279138e-13,0.8591054731279139
12.75,7.987355487606526e-13,0.7987355487606526
13.0,7.530792048551862e-13,0.7530792048551862
13.25,6.256035169810734e-13,0.6256035169810734
13.5,6.010347492424422e-13,0.6010347492424423
13.75,5.819492060959812e-13,0.5819492060959812
14.0,6.207136966313805e-13,0.6207136966313804
14.25,6.378201782204259e-13,0.6378201782204259
14.5,5.191357799914967e-13,0.5191357799914967
14.75,5.626696127452995e-13,0.5626696127452995
15.0,6.303937418913987e-13,0.6303937418913987
15.25,6.120540263235147e-13,0.6120540263235147
15.5,5.982717853749237e-13,0.5982717853749236
15.75,5.623138013184041e-13,0.5623138013184041
16.0,5.553484182645604e-13,0.5553484182645605
16.25,5.570972630885037e-13,0.5570972630885037
16.5,5.833894204453604e-13,0.5833894204453604
16.75,5.407353649522561e-13,0.5407353649522562
17.0,5.189515152996817e-13,0.5189515152996818
17.25,5.094026313160068e-13,0.5094026313160067
17.5,4.616445899071362e-13,0.46164458990713625
17.75,4.564375579987924e-13,0.45643755799879243
18.0,4.674160926978297e-13,0.4674160926978297
18.25,4.298967642893293e-13,0.4298967642893293
18.5,4.602339274079086e-13,0.46023392740790864
18.75,5.119238137688592e-13,0.5119238137688592
19.0,5.679220248606317e-13,0.5679220248606317
19.25,5.931157236352639e-13,0.5931157236352639
19.5,6.048164479212168e-13,0.6048164479212168
19.75,5.517324504958623e-13,0.5517324504958623
20.0,4.933828161323741e-13,0.4933828161323741
20.25,3.807916112551638e-13,0.3807916112551638
20.5,3.9680271675616594e-13,0.39680271675616596
20.75,3.6795419450477233e-13,0.36795419450477235
21.0,3.3263816160848144e-13,0.3326381616084814
21.25,3.224691390871461e-13,0.3224691390871461
21.5,3.3476800391856303e-13,0.33476800391856304
21.75,3.194098543022485e-13,0.3194098543022485
22.0,2.917548384457339e-13,0.2917548384457339
22.25,2.810642331857353e-13,0.2810642331857353
22.5,2.782780627601183e-13,0.2782780627601183
22.75,2.524202927873841e-13,0.2524202927873841
23.0,2.221286574681374e-13,0.2221286574681374
23.25,1.9713707415757785e-13,0.19713707415757784
23.5,2.0451897395807503e-13,0.20451897395807503
23.75,2.0530448580277092e-13,0.20530448580277091
24.0,1.8615820166048474e-13,0.18615820166048475
24.25,1.8906662165367975e-13,0.18906662165367974
24.5,1.8289738741060466e-13,0.18289738741060466
24.75,1.6804002730968037e-13,0.16804002730968037
25.0,1.6848757597201354e-13,0.16848757597201355
25.25,1.901411548889873e-13,0.19014115488898728
25.5,1.7695297848879586e-13,0.17695297848879588
25.75,1.585612817067649e-13,0.1585612817067649
26.0,1.5961408733210766e-13,0.15961408733210766
26.25,1.643852026384579e-13,0.1643852026384579
26.5,1.6101690836722296e-13,0.16101690836722296
26.75,1.5067981992983717e-13,0.15067981992983717
27.0,1.4437611116111143e-13,0.14437611116111143
27.25,1.4411774907735627e-13,0.14411774907735628
27.5,1.4927341649103085e-13,0.14927341649103085
27.75,1.4725694300284146e-13,0.14725694300284145
28.0,1.5763761032905634e-13,0.15763761032905635
28.25,1.4879226720454862e-13,0.14879226720454863
28.5,1.3639649015030299e-13,0.13639649015030297
28.75,1.3683438990294213e-13,0.13683438990294214
29.0,1.426227864428511e-13,0.14262278644285112
29.25,1.3355162928773943e-13,0.13355162928773942
29.5,1.312006604754299e-13,0.13120066047542991
29.75,1.2187458242760145e-13,0.12187458242760145
30.0,1.1662495226854787e-13,0.11662495226854787
30.25,1.2928597320365373e-13,0.12928597320365373
30.5,1.3728668918835055e-13,0.13728668918835055
30.75,1.3713367468520476e-13,0.13713367468520476
31.0,1.3201113810976937e-13,0.13201113810976936
31.25,1.1433315762170795e-13,0.11433315762170795
31.5,1.0988769742502141e-13,0.10988769742502141
31.75,1.1807357974945087e-13,0.11807357974945086
32.0,1.1260346204690801e-13,0.112603462046908
32.25,1.1350257827826167e-13,0.11350257827826167
32.5,1.1309746744171199e-13,0.11309746744171198
32.75,1.0513309430192973e-13,0.10513309430192973
33.0,9.182522907415511e-14,0.09182522907415512
33.25,9.538313432395431e-14,0.09538313432395432
33.5,9.869821514971319e-14,0.09869821514971319
33.75,9.662599819777031e-14,0.0966259981977703
34.0,9.784393339611462e-14,0.09784393339611462
34.25,9.54868067212128e-14,0.0954868067212128
34.5,8.591595680210608e-14,0.08591595680210608
34.75,9.415892117643641e-14,0.09415892117643641
35.0,9.767544905880232e-14,0.09767544905880232
35.25,9.553911766555901e-14,0.095539117665559
35.5,9.006090022765222e-14,0.09006090022765222
35.75,8.500229970356818e-14,0.08500229970356818
36.0,8.558005212920196e-14,0.08558005212920196
36.25,8.897553293833129e-14,0.08897553293833128
36.5,8.574462752739282e-14,0.08574462752739283
36.75,7.89322000018312e-14,0.0789322000018312
37.0,7.946609462237862e-14,0.07946609462237862
37.25,7.734313493979822e-14,0.07734313493979822
37.5,8.840730340224425e-14,0.08840730340224424
37.75,8.647704777238711e-14,0.08647704777238711
38.0,8.558900158002725e-14,0.08558900158002725
38.25,8.056734437772728e-14,0.08056734437772728
38.5,7.735617585727735e-14,0.07735617585727735
38.75,7.800668368422885e-14,0.07800668368422885
39.0,7.7261476818272e-14,0.077261476818272
39.25,7.769356453813568e-14,0.07769356453813568
39.5,7.482104264038717e-14,0.07482104264038716
39.75,7.616593309312431e-14,0.0761659330931243
40.0,7.712076874371436e-14,0.07712076874371436
